covid;district;N
before;12;-3144
before;3;-3422
before;1;-2486
after;11;7573
after;22;1867
after;9;3320
before;11;-5364
after;10;1822
before;4;-2217
before;15;-1740
after;14;6637
after;16;3138
after;12;5479
after;6;2934
after;8;2394
after;1;4260
before;8;-1891
after;2;5824
before;2;-3522
after;4;3486
after;13;6834
after;20;1555
before;19;-1256
after;15;2601
before;13;-4240
before;10;-1094
before;23;-279
before;5;-1527
after;3;5832
before;14;-3799
before;7;-1923
after;21;1438
after;5;2711
before;21;-764
after;7;2864
before;16;-1693
before;6;-1862
before;9;-2425
after;19;2089
before;20;-855
after;18;2264
before;17;-1075
before;18;-1298
after;17;1944
before;22;-948
after;23;811
